recordNumber ,scientificName,commonName,taxonID,superFamily,family,subFamily,tribe,subTribe,genus
1,Micronia aculeata,Grey Swallowtail Moth,145630,Geometroidea,Uraniidae,Microniinae,,,Micronia
2,Nepita conferta,,143776,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Nudariina,Nepita
3,Dysphania percota,Blue Tiger Moth,319698,Geometroidea,Geometridae,Geometrinae,Dysphaniini,,Dysphania
4,Spoladea recurvalis,Hawaiian Beet Webworm Moth,52043,Pyraloidea,Crambidae,Spilomelinae,Hymeniini,,Spoladea
5,Syntomoides imaon,Handmaiden Moth,122956,Noctuoidea,Erebidae,Arctiinae,Syntomini,,Syntomoides
6,Euchromia polymena,Painted Handmaiden Moth,52090,Noctuoidea,Erebidae,Arctiinae,Arctiini,Euchromiina,Euchromia
7,Erebus hieroglyphica,Tropical Owl,203994,Noctuoidea,Erebidae,Erebinae,Erebini,,Erebus
8,Erebus ephesperis,Smiling Face Moth,122957,Noctuoidea,Erebidae,Erebinae,Erebini,,Erebus
9,Amata passalis,sandalwood defoliator,332480,Noctuoidea,Erebidae,Arctiinae,Syntomini,,Amata
10,Eurrhyparodes bracteolalis,Yellow Blotched Pearl Moth,199439,Pyraloidea,Crambidae,Spilomelinae,Herpetogrammatini,,Eurrhyparodes
11,Eumelea ludovicata,Orpiment Moth,199156,Geometroidea,Geometridae,Desmobathrinae,,,Eumelea
12,Asota caricae,Tropical Tiger Moth,52086,Noctuoidea,Erebidae,Aganainae,,,Asota
13,Xanthodes transversa,Transverse moth,153452,Noctuoidea,Noctuidae,Bagisarinae,,,Xanthodes
14,Mocis undata,Brown-striped Semilooper,52034,Noctuoidea,Erebidae,Erebinae,Euclidiini,,Mocis
15,Pergesa acteus,Green Pergesa Hawkmoth,322014,Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,Choerocampina,Pergesa
16,Hyposidra talaca,Black Looper,196588,Geometroidea,Geometridae,Ennominae,Boarmiini,,Hyposidra
17,Eudocima materna,Dot-underwing Moth,319809,Noctuoidea,Erebidae,Calpinae,Ophiderini,,Eudocima
18,Polytela gloriosae,Indian Lily Moth,205591,Noctuoidea,Noctuidae,Noctuinae,Glottulini,,Polytela
19,Diaphania indica,Cucumber Moth,51922,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Diaphania
20,Pangora matherana,Matheran Moth,602311,Noctuoidea,Erebidae,Arctiinae,Arctiini,Spilosomina,Pangora
21,Episteme maculatrix,,464057,Noctuoidea,Noctuidae,Agaristinae,,,Episteme
22,Scopula opicata,,344288,Geometroidea,Geometridae,Sterrhinae,Scopulini,,Scopula
23,Attacus taprobanis,Sri Lankan Atlas Moth,125061,Bombycoidea,Saturniidae,Saturniinae,Attacini,,Attacus
24,Nyctemera coleta,Marbled White Moth,202268,Noctuoidea,Erebidae,Arctiinae,Arctiini,Pericopina,Nyctemera
25,Macrobrochis gigas,Giant Moth,204734,Noctuoidea,Erebidae,Arctiinae,Lithosiini,,Macrobrochis
26,Eligma narcissus,Ailanthus Defoliator,144054,Noctuoidea,Nolidae,Eligminae,,,Eligma
27,Daphnis nerii,Oleander Hawkmoth,51996,Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,Macroglossina,Daphnis
28,Parapoynx stagnalis,Rice Case Bearer,203822,Pyraloidea,Crambidae,Acentropinae,,,Parapoynx
29,Eudocima homaena,Deciduous Moth,51994,Noctuoidea,Erebidae,Calpinae,Ophiderini,,Eudocima
30,Cnaphalocrocis poeyalis,Lesser Rice-leafroller,196584,Pyraloidea,Crambidae,Spilomelinae,Spilomelini,,Cnaphalocrocis
31,Bocchoris inspersalis,Dotted Sable,202668,Pyraloidea,Crambidae,Spilomelinae,Nomophilini,,Bocchoris
32,Glyphodes bicolor,,202666,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Glyphodes
33,Spodoptera litura,Oriental leafworm moth,124875,Noctuoidea,Noctuidae,Noctuinae,Prodeniini,,Spodoptera
34,Sameodes cancellalis,Banded Pearl,52038,Pyraloidea,Crambidae,Spilomelinae,Nomophilini,,Sameodes
35,Erebus macrops,Common Owl Moth,121840,Noctuoidea,Erebidae,Erebinae,Erebini,,Erebus
36,Creatonotos transiens,,125258,Noctuoidea,Erebidae,Arctiinae,Arctiini,Spilosomina,Creatonotos
37,Aethaloessa calidalis,,121891,Pyraloidea,Crambidae,Spilomelinae,Spilomelini,,Aethaloessa
38,Thyas coronata,Yellow Underwing,121948,Noctuoidea,Erebidae,Erebinae,Ophiusini,,Thyas
39,Tetragonus catamitus,Common Butterfly Moth,121881,Calliduloidea,Callidulidae,,,,Tetragonus
40,Mocis frugalis,Sugarcane Looper,52031,Noctuoidea,Erebidae,Erebinae,Euclidiini,,Mocis
41,Pareuchaetes pseudoinsulata,Siam Weed Defoliator,604101,Noctuoidea,Erebidae,Arctiinae,Arctiini,Phaegopterina,Pareuchaetes
42,Ammatho cuneonotatus,,985646,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Nudariina,Ammatho
43,Trabala vishnou,Rose Myrtle Lappet Moth,124655,Lasiocampoidea,Lasiocampidae,Lasiocampinae,Trabalini,,Trabala
44,Theretra lucasii,Lucas's Hawkmoth,1136896,Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,Choerocampina,Theretra
45,Metoeca foedalis,,199205,Pyraloidea,Crambidae,Spilomelinae,,,Metoeca
46,Episteme adulatrix,Blue-spotted Forester Moth,332979,Noctuoidea,Noctuidae,Agaristinae,,,Episteme
47,Hulodes caranea,Wood Moth,153462,Noctuoidea,Erebidae,Erebinae,Hulodini,,Hulodes
48,Haritalodes derogata,Cotton Leaf Roller,203078,Pyraloidea,Crambidae,Spilomelinae,Agroterini,,Haritalodes
49,Eudocima hypermnestra,,203149,Noctuoidea,Erebidae,Calpinae,Ophiderini,,Eudocima
50,Phalacra vidhisara,,203074,Drepanoidea,Drepanidae,Drepaninae,Drepanini,,Phalacra
51,Cyana peregrina,,604841,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Nudariina,Cyana
52,Agathia laetata,,210994,Geometroidea,Geometridae,Geometrinae,Agathiini,,Agathia
53,Actias selene,Indian Moon Moth,68366,Bombycoidea,Saturniidae,Saturniinae,Saturniini,,Actias
54,Glyphodes caesalis,Jack Fruit Borer,196985,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Glyphodes
55,Theretra nessus,Yam Hawkmoth,52004,Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,Choerocampina,Theretra
56,Chiasmia nora,,465487,Geometroidea,Geometridae,Ennominae,Macariini,,Chiasmia
57,Chalciope mygdon,Triangular-striped moth,203112,Noctuoidea,Erebidae,Erebinae,Poaphilini,,Chalciope
58,Lymantria ampla,,630873,Noctuoidea,Erebidae,Lymantriinae,Lymantriini,,Lymantria
59,Cyclothea disjuncta,,424572,Geometroidea,Geometridae,Geometrinae,,,Cyclothea
60,Theretra silhetensis,Brown-Banded Hunter Hawkmoth,121856,Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,Choerocampina,Theretra
61,Maruca vitrata,Mung Bean Moth,122668,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Maruca
62,Glyphodes bivitralis,,325800,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Glyphodes
63,Ganisa postica,,512000,Bombycoidea,Eupterotidae,Eupterotinae,,,Ganisa
64,Trigonodes hyppasia,Triangles,203110,Noctuoidea,Erebidae,Erebinae,Euclidiini,,Trigonodes
65,Cnaphalocrocis medinalis,Rice Leaf-roller,52045,Pyraloidea,Crambidae,Spilomelinae,Spilomelini,,Cnaphalocrocis
66,Borbacha pardaria,,418785,Geometroidea,Geometridae,Ennominae,Baptini,,Borbacha
67,Anomis flava,Tropical Anomis,213715,Noctuoidea,Erebidae,Scoliopteryginae,Anomini,,Anomis
68,Tricyanaula aurantiaca,,952692,Gelechioidea,Gelechiidae,,,,Tricyanaula
69,Syngamia latimarginalis,,510161,Pyraloidea,Crambidae,Spilomelinae,Nomophilini,,Syngamia
70,Oraesia emarginata,Fruit piercing moth,203904,Noctuoidea,Erebidae,Calpinae,Calpini,,Oraesia
71,Nausinoe perspectata,,52001,Pyraloidea,Crambidae,Spilomelinae,,,Nausinoe
72,Ercheia cyllaria,,209608,Noctuoidea,Erebidae,Erebinae,Ercheiini,,Ercheia
73,Bastilla joviana,,199561,Noctuoidea,Erebidae,Erebinae,Poaphilini,,Bastilla
74,Anticarsia irrorata,,205115,Noctuoidea,Erebidae,Eulepidotinae,Panopodini,,Anticarsia
75,Acherontia lachesis,Greater Death's Head Hawkmoth,121837,Bombycoidea,Sphingidae,Sphinginae,Sphingini,Acherontiina,Acherontia
76,Pseudomicronia advocataria,,244142,Geometroidea,Uraniidae,Microniinae,,,Pseudomicronia
77,Parapoynx fluctuosalis,,199986,Pyraloidea,Crambidae,Acentropinae,,,Parapoynx
78,Cyclosia latipennis,Wide Winged Jewel,1137824,Zygaenoidea,Zygaenidae,Chalcosiinae,,,Cyclosia
79,Artena submira,,865409,Noctuoidea,Erebidae,Erebinae,Ophiusini,,Artena
80,Zurobata vacillans,,244882,Noctuoidea,Erebidae,Boletobiinae,Aventiini,,Zurobata
81,Striglina scitaria,,461434,Thyridoidea,Thyrididae,,,,Striglina
82,Scopula addictaria,,981191,Geometroidea,Geometridae,Sterrhinae,Scopulini,,Scopula
83,Ravanoa xiphialis,,474097,Pyraloidea,Crambidae,Spilomelinae,,,Ravanoa
84,Pygospila tyres,Chequered Snout,124872,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Pygospila
85,Progonia oileusalis,,205728,Noctuoidea,Erebidae,Herminiinae,,,Progonia
86,Olene mendosa,Brown Tussock Moth,61995,Noctuoidea,Erebidae,Lymantriinae,Orgyiini,,Olene
87,Naxa textilis,,736045,Geometroidea,Geometridae,Desmobathrinae,,,Naxa
88,Nausinoe geometralis,,124308,Pyraloidea,Crambidae,Spilomelinae,,,Nausinoe
89,Maliattha separata,,211013,Noctuoidea,Noctuidae,Eustrotiinae,,,Maliattha
90,Ischyja marapok,,546925,Noctuoidea,Erebidae,Erebinae,,,Ischyja
91,Hyperythra lutea,,209495,Geometroidea,Geometridae,Ennominae,,,Hyperythra
92,Hydriris ornatalis,Ornate Hydriris Moth,199428,Pyraloidea,Crambidae,Spilomelinae,Hydririni,,Hydriris
93,Curoba sangarida,,367969,Noctuoidea,Erebidae,Arctiinae,Arctiini,,Curoba
94,Artena dotata,Owlet Moth,122754,Noctuoidea,Erebidae,Erebinae,Ophiusini,,Artena
95,Agathia hemithearia,,423606,Geometroidea,Geometridae,Geometrinae,Agathiini,,Agathia
96,Achaea janata,Castor Semi-looper,204042,Noctuoidea,Erebidae,Erebinae,Poaphilini,,Achaea
97,Pyrausta phoenicealis,Phoenicean Pyrausta,473599,Pyraloidea,Crambidae,Pyraustinae,Pyraustini,,Pyrausta
98,Pyralis manihotalis,Tropical Meal Moth,330478,Pyraloidea,Pyralidae,Pyralinae,Pyralini,,Pyralis
99,Petelia medardaria,,635236,Geometroidea,Geometridae,Ennominae,Caberini,,Petelia
100,Nymphicula trimacula,,1153360,Pyraloidea,Crambidae,Acentropinae,,,Nymphicula
101,Hippotion rosetta,Swinhoe's Striated Hawkmoth,51999,Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,Choerocampina,Hippotion
102,Chiasmia emersaria,,203868,Geometroidea,Geometridae,Ennominae,Macariini,,Chiasmia
103,Anisephyra ocularia,,850808,Geometroidea,Geometridae,Sterrhinae,Cosymbiini,,Anisephyra
104,Xanthorhoe saturata,,423818,Geometroidea,Geometridae,Larentiinae,Xanthorhoini,,Xanthorhoe
105,Parapholodes fuliginea,,961921,Geometroidea,Geometridae,Ennominae,Boarmiini,,Parapholodes
106,Orvasca subnotata,Rosewood Defoliator,124255,Noctuoidea,Erebidae,Lymantriinae,Nygmiini,,Orvasca
107,Nacoleia charesalis,,490063,Pyraloidea,Crambidae,Spilomelinae,,,Nacoleia
108,Mangina argus,Crotalaria Podbearer,205308,Noctuoidea,Erebidae,Arctiinae,Arctiini,Callimorphina,Mangina
109,Leucania yu,,124314,Noctuoidea,Noctuidae,Noctuinae,Leucaniini,,Leucania
110,Eudocima phalonia,Common Fruit-Piercing Moth,211068,Noctuoidea,Erebidae,Calpinae,Ophiderini,,Eudocima
111,Erebus caprimulgus,,120521,Noctuoidea,Erebidae,Erebinae,Erebini,,Erebus
112,Cyana puella,,601793,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Nudariina,Cyana
113,Bocana manifestalis,,364088,Noctuoidea,Erebidae,Herminiinae,,,Bocana
114,Bastilla simillima,,416653,Noctuoidea,Erebidae,Erebinae,Poaphilini,,Bastilla
115,Bastilla crameri,,415538,Noctuoidea,Erebidae,Erebinae,Poaphilini,,Bastilla
116,Asota plana,,202258,Noctuoidea,Erebidae,Aganainae,,,Asota
117,Asota canaraica,,1114895,Noctuoidea,Erebidae,Aganainae,,,Asota
118,Aporandria specularia,,145543,Geometroidea,Geometridae,Geometrinae,Hemitheini,,Aporandria
119,Traminda aventiaria,Cross-line Wave Moth,203869,Geometroidea,Geometridae,Sterrhinae,Rhodometrini,,Traminda
120,Scopula fibulata,,417722,Geometroidea,Geometridae,Sterrhinae,Scopulini,,Scopula
121,Nyctemera lacticinia,Common Nyctemera,124131,Noctuoidea,Erebidae,Arctiinae,Arctiini,Pericopina,Nyctemera
122,Miresa argentifera,,124671,Zygaenoidea,Limacodidae,Limacodinae,,,Miresa
123,Marumba dyras,dull swirled hawkmoth,202660,Bombycoidea,Sphingidae,Smerinthinae,Sichiini,,Marumba
124,Hymenia perspectalis,Spotted Beet Webworm Moth,142995,Pyraloidea,Crambidae,Spilomelinae,Hymeniini,,Hymenia
125,Eumelea rosalia,,461307,Geometroidea,Geometridae,Desmobathrinae,,,Eumelea
126,Endotricha mesenterialis,,243791,Pyraloidea,Pyralidae,Pyralinae,Endotrichini,,Endotricha
127,Egnasia ephyrodalis,,244111,Noctuoidea,Erebidae,Pangraptinae,,,Egnasia
128,Earias cupreoviridis,,203830,Noctuoidea,Nolidae,Eariadinae,,,Earias
129,Brunia antica,,126028,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Lithosiina,Brunia
130,Rajendra biguttata,,482122,Noctuoidea,Erebidae,Arctiinae,Arctiini,Spilosomina,Rajendra
131,Poliobotys ablactalis,,462028,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Poliobotys
132,Pharambara splendida,,424756,Thyridoidea,Thyrididae,,,,Pharambara
133,Omiodes diemenalis,Bean Leafroller,202113,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Omiodes
134,Nodaria externalis,,199988,Noctuoidea,Erebidae,Herminiinae,,,Nodaria
135,Eudocima cajeta,,202765,Noctuoidea,Erebidae,Calpinae,Ophiderini,,Eudocima
136,Dysgonia stuposa,,321570,Noctuoidea,Erebidae,Erebinae,Poaphilini,,Dysgonia
137,Cyclodes omma,Nut Borer,465828,Noctuoidea,Noctuidae,Dyopsinae,,,Cyclodes
138,Comostola laesaria,,194494,Geometroidea,Geometridae,Geometrinae,Hemitheini,,Comostola
139,Biston suppressaria,tea looper,237825,Geometroidea,Geometridae,Ennominae,Bistonini,,Biston
140,Bastilla fulvotaenia,,243794,Noctuoidea,Erebidae,Erebinae,Poaphilini,,Bastilla
141,Amata cyssea,,281571,Noctuoidea,Erebidae,Arctiinae,Syntomini,,Amata
142,Sphrageidus similis,Swan Moth,362811,Noctuoidea,Erebidae,Lymantriinae,Nygmiini,,Sphrageidus
143,Scopula emissaria,,244421,Geometroidea,Geometridae,Sterrhinae,Scopulini,,Scopula
144,Patania iopasalis,,554981,Pyraloidea,Crambidae,Spilomelinae,Agroterini,,Patania
145,Omiodes indicata,Bean-leaf Webworm Moth,319482,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Omiodes
146,Maliattha signifera,,199514,Noctuoidea,Noctuidae,Eustrotiinae,,,Maliattha
147,Leucinodes orbonalis,Eggplant Fruit and Shoot Borer,124869,Pyraloidea,Crambidae,Spilomelinae,Lineodini,,Leucinodes
148,Hippotion celerio,Vine Hawkmoth,199458,Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,Choerocampina,Hippotion
149,Gesonia obeditalis,,362055,Noctuoidea,Erebidae,Boletobiinae,Phytometrini,,Gesonia
150,Filodes fulvidorsalis,,121909,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Filodes
151,Eupanacra busiris,Green Rippled Hawkmoth,121838,Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,Macroglossina,Eupanacra
152,Endocrossis flavibasalis,,343729,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Endocrossis
153,Buzara onelia,,124245,Noctuoidea,Erebidae,Erebinae,Poaphilini,,Buzara
154,Ataboruza divisa,,204675,Noctuoidea,Erebidae,Boletobiinae,Aventiini,,Ataboruza
155,Artaxa guttata,,556271,Noctuoidea,Erebidae,Lymantriinae,Nygmiini,,Artaxa
156,Agrioglypta itysalis,,417343,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Agrioglypta
157,Traminda mundissima,,424830,Geometroidea,Geometridae,Sterrhinae,Rhodometrini,,Traminda
158,Tatobotys biannulalis,,243789,Pyraloidea,Crambidae,Spilomelinae,Steniini,,Tatobotys
159,Sympis rufibasis,,204819,Noctuoidea,Erebidae,Erebinae,Erebini,,Sympis
160,Pseudoblabes oophora,,371800,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Cisthenina,Pseudoblabes
161,Pelagodes antiquadraria,,154074,Geometroidea,Geometridae,Geometrinae,Geometrini,,Pelagodes
162,Orudiza protheclaria,,193956,Geometroidea,Uraniidae,Epipleminae,,,Orudiza
163,Olepa ricini,,370855,Noctuoidea,Erebidae,Arctiinae,Arctiini,Spilosomina,Olepa
164,Oeonistis entella,,125979,Noctuoidea,Erebidae,Arctiinae,Lithosiini,,Oeonistis
165,Idaea gemmaria,,853061,Geometroidea,Geometridae,Sterrhinae,Sterrhini,,Idaea
166,Hyblaea puera,Teak Defoliator,202649,Hyblaeoidea,Hyblaeidae,,,,Hyblaea
167,Eretmocera impactella,,347431,Gelechioidea,Scythrididae,,,,Eretmocera
168,Eressa confinis,,210962,Noctuoidea,Erebidae,Arctiinae,Syntomini,,Eressa
169,Ectropis bhurmitra,Burmese Engrailed Moth,124225,Geometroidea,Geometridae,Ennominae,Boarmiini,,Ectropis
170,Dierna patibulum,,450312,Noctuoidea,Erebidae,Calpinae,Calpini,,Dierna
171,Diduga flavicostata,,204657,Noctuoidea,Erebidae,Arctiinae,Lithosiini,,Diduga
172,Asota plaginota,,204825,Noctuoidea,Erebidae,Aganainae,,,Asota
173,Asota heliconia,,202248,Noctuoidea,Erebidae,Aganainae,,,Asota
174,Argina astrea,crotalaria pod borer,318525,Noctuoidea,Erebidae,Arctiinae,Arctiini,Callimorphina,Argina
175,Amplypterus panopus,mango hawkmoth,204801,Bombycoidea,Sphingidae,Smerinthinae,Ambulycini,,Amplypterus
176,Aloa lactinea,Red Costate Tiger Moth,244122,Noctuoidea,Erebidae,Arctiinae,Arctiini,Spilosomina,Aloa
177,Agrius convolvuli,Convolvulus Hawkmoth,124031,Bombycoidea,Sphingidae,Sphinginae,Sphingini,Acherontiina,Agrius
178,Agathodes ostentalis,,124866,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Agathodes
179,Aetholix flavibasalis,,196582,Pyraloidea,Crambidae,Spilomelinae,Agroterini,,Aetholix
180,Trilocha varians,,193959,Bombycoidea,Bombycidae,Bombycinae,,,Trilocha
181,Theretra lycetus,White-edged Hunter Hawkmoth,498837,Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,Choerocampina,Theretra
182,Talanga sexpunctalis,,204810,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Talanga
183,Sphenarches anisodactylus,Fire-flag Plume Moth,134123,Pterophoroidea,Pterophoridae,Pterophorinae,Oxyptilini,,Sphenarches
184,Scirpophaga incertulas,Rice Yellow Stem Borer,124811,Pyraloidea,Crambidae,Schoenobiinae,,,Scirpophaga
185,Pingasa chlora,White Looper Moth,473548,Geometroidea,Geometridae,Geometrinae,Pseudoterpnini,,Pingasa
186,Perina nuda,Banyan tussock moth,196983,Noctuoidea,Erebidae,Lymantriinae,Leucomini,,Perina
187,Parasa lepida,Blue-striped Nettle Grub,202828,Zygaenoidea,Limacodidae,Limacodinae,,,Parasa
188,Paliga machoeralis,,430169,Pyraloidea,Crambidae,Pyraustinae,,,Paliga
189,Notarcha aurolinealis,,203043,Pyraloidea,Crambidae,Spilomelinae,Agroterini,,Notarcha
190,Nevrina procopia,,205161,Pyraloidea,Crambidae,Spilomelinae,,,Nevrina
191,Miresa pyronota,,1119100,Zygaenoidea,Limacodidae,Limacodinae,,,Miresa
192,Hypomecis transcissa,,124253,Geometroidea,Geometridae,Ennominae,Boarmiini,,Hypomecis
193,Hypomecis lioptilaria,,751142,Geometroidea,Geometridae,Ennominae,Boarmiini,,Hypomecis
194,Hydrillodes lentalis,,244668,Noctuoidea,Erebidae,Herminiinae,,,Hydrillodes
195,Hemithea tritonaria,,126723,Geometroidea,Geometridae,Geometrinae,Hemitheini,,Hemithea
196,Helicoverpa armigera,Cotton Bollworm Moth,83806,Noctuoidea,Noctuidae,Heliothinae,,,Helicoverpa
197,Glyphodes onychinalis,Swan plant flower moth,203102,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Glyphodes
198,Eurrhyparodes tricoloralis,,209399,Pyraloidea,Crambidae,Spilomelinae,Herpetogrammatini,,Eurrhyparodes
199,Eterusia aedea,Red slug caterpillar,151806,Zygaenoidea,Zygaenidae,Chalcosiinae,,,Eterusia
200,Erygia spissa,,362035,Noctuoidea,Erebidae,Erebinae,Erebini,,Erygia
201,Enispa elataria,,204842,Noctuoidea,Erebidae,Boletobiinae,Aventiini,,Enispa
202,Endoclita malabaricus,,782611,Hepialoidea,Hepialidae,,,,Endoclita
203,Dyrzela plagiata,,199559,Noctuoidea,Noctuidae,Bagisarinae,,,Dyrzela
204,Dichromia sagitta,,202235,Noctuoidea,Erebidae,Hypeninae,,,Dichromia
205,Cyclidia dictyaria,,633741,Drepanoidea,Drepanidae,Cyclidiinae,,,Cyclidia
206,Conogethes punctiferalis,Yellow Peach Moth,125248,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Conogethes
207,Chlumetia transversa,,319646,Noctuoidea,Euteliidae,Euteliinae,,,Chlumetia
208,Calliteara grotei,Grote's Tussock Moth,205293,Noctuoidea,Erebidae,Lymantriinae,Orgyiini,,Calliteara
209,Antitrygodes divisaria,,199158,Geometroidea,Geometridae,Sterrhinae,Scopulini,,Antitrygodes
210,Antheraea paphia,Tasar Silk Moth,509800,Bombycoidea,Saturniidae,Saturniinae,Saturniini,,Antheraea
211,Amerila astreus,,437824,Noctuoidea,Erebidae,Arctiinae,Amerilini,,Amerila
212,Agathia hilarata,,847604,Geometroidea,Geometridae,Geometrinae,Agathiini,,Agathia
213,Achrosis rondelaria,,965304,Geometroidea,Geometridae,Ennominae,Hypochrosini,,Achrosis
214,Acherontia styx,Eastern Death's Head hawkmoth,82830,Bombycoidea,Sphingidae,Sphinginae,Sphingini,Acherontiina,Acherontia
215,Xanthodes intersepta,,145628,Noctuoidea,Noctuidae,Bagisarinae,,,Xanthodes
216,Xanthodes albago,Cream Drab,497592,Noctuoidea,Noctuidae,Bagisarinae,,,Xanthodes
217,Utetheisa lotrix,Crotalaria moth,334603,Noctuoidea,Erebidae,Arctiinae,Arctiini,Callimorphina,Utetheisa
